Name,Fill_rate,Normal_capacity,Reserve,Date
El Kensera,46.9,216.4,101.6,28/10/2017
Bin El Ouidane,60.0,1233.1,739.9,28/10/2018
Bin El Ouidane,18.5,1233.1,228.2,28/10/2017
Al Hanssali,35.7,724.4,258.4,28/10/2018
Al Hanssali,33.0,724.4,239.3,28/10/2017
Al Massira,27.4,2657.0,728.3,28/10/2018
Al Massira,21.4,2657.0,567.7,28/10/2017
Oued El Makhazine,72.9,672.9,490.3,29/10/2018
Oued El Makhazine,46.4,672.9,311.9,29/10/2017
Hassan II,63.7,392.3,249.7,29/10/2018
Hassan II,17.1,392.3,66.9,29/10/2017
Oued ZA,93.2,94.9,88.4,29/10/2018
Oued ZA,16.8,94.9,16.0,29/10/2017
Mohamed V,89.8,239.5,215.2,29/10/2018
Mohamed V,10.2,239.5,24.4,29/10/2017
Idriss 1er,78.9,1129.6,891.5,29/10/2018
Idriss 1er,41.1,1129.6,464.6,29/10/2017
Al Wahda,59.9,3522.3,2109.0,29/10/2018
Al Wahda,43.4,3522.3,1530.0,29/10/2017
El Kensera,68.2,216.42,147.50,29/10/2018
El Kensera,46.9,216.42,101.6,29/10/2017
Bin El Ouidane,60.3,1233.10,744.06,29/10/2018
Bin El Ouidane,18.5,1233.10,228.2,29/10/2017
Al Hanssali,37.0,724.4,267.7,29/10/2018
Al Hanssali,33.0,724.4,239.3,29/10/2017
Al Massira,27.6,2657.0,733.0,29/10/2018
Al Massira,21.4,2657.0,567.7,29/10/2017
Oued El Makhazine,73.0,672.9,491.3,30/10/2018
Oued El Makhazine,46.2,672.9,311.2,30/10/2017
Hassan II,63.9,392.3,250.7,30/10/2018
Hassan II,17.0,392.3,66.9,30/10/2017
Oued ZA,93.9,94.9,89.1,30/10/2018
Oued ZA,16.9,94.9,16.0,30/10/2017
Mohamed V,92.1,239.5,220.6,30/10/2018
Mohamed V,9.4,239.5,22.6,30/10/2017
Idriss 1er,79.4,1129.6,897.0,30/10/2018
Idriss 1er,41.0,1129.6,462.9,30/10/2017
Al Wahda,60.0,3522.3,2113.5,30/10/2018
Al Wahda,43.4,3522.3,1527.0,30/10/2017
El Kensera,71.3,216.42,154.39,30/10/2018
El Kensera,46.2,216.42,100.1,30/10/2017
Bin El Ouidane,61.8,1233.10,761.70,30/10/2018
Bin El Ouidane,18.4,1233.10,226.8,30/10/2017
Al Hanssali,37.3,724.4,270.1,30/10/2018
Al Hanssali,33.1,724.4,239.5,30/10/2017
Al Massira,28.0,2657.0,744.2,30/10/2018
Al Massira,21.5,2657.0,571.3,30/10/2017
Oued El Makhazine,74.1,672.9,498.4,31/10/2018
Oued El Makhazine,46.2,672.9,310.9,31/10/2017
Hassan II,64.1,392.3,251.6,31/10/2018
Hassan II,17.0,392.3,66.8,31/10/2017
Oued ZA,93.7,94.9,88.9,31/10/2018
Oued ZA,17.0,94.9,16.1,31/10/2017
Mohamed V,94.4,239.5,226.2,31/10/2018
Mohamed V,8.9,239.5,21.3,31/10/2017
Idriss 1er,79.5,1129.6,898.6,31/10/2018
Idriss 1er,40.9,1129.6,462.2,31/10/2017
Al Wahda,60.0,3522.3,2112.6,31/10/2018
Al Wahda,43.3,3522.3,1525.5,31/10/2017
El Kensera,72.7,216.42,157.44,31/10/2018
El Kensera,46.0,216.42,99.5,31/10/2017
Bin El Ouidane,62.6,1233.10,772.48,31/10/2018
Bin El Ouidane,18.3,1233.10,226.1,31/10/2017
Al Hanssali,38.3,724.4,277.3,31/10/2018
Al Hanssali,33.1,724.4,240.0,31/10/2017
Al Massira,28.3,2657.0,752.0,31/10/2018
Al Massira,21.4,2657.0,568.7,31/10/2017
Oued El Makhazine,76.8,672.9,516.8,1/11/2018
Oued El Makhazine,46.1,672.9,310.4,1/11/2017
Hassan II,64.5,392.31,252.93,1/11/2018
Hassan II,17.0,392.31,66.8,1/11/2017
Oued ZA,93.8,94.9,89.0,1/11/2018
Oued ZA,17.1,94.9,16.2,1/11/2017
Mohamed V,95.6,239.5,229.0,1/11/2018
Mohamed V,7.0,239.5,16.8,1/11/2017
Idriss 1er,79.8,1129.6,901.1,1/11/2018
Idriss 1er,40.8,1129.6,461.1,1/11/2017
Al Wahda,61.5,3522.3,2164.7,1/11/2018
Al Wahda,43.2,3522.3,1523.3,1/11/2017
El Kensera,74.6,216.4,161.5,1/11/2018
El Kensera,45.6,216.4,98.7,1/11/2017
Bin El Ouidane,63.3,1215.5,769.9,1/11/2018
Bin El Ouidane,18.5,1215.5,225.2,1/11/2017
Al Hanssali,43.4,668.2,289.7,1/11/2018
Al Hanssali,36.0,668.2,240.7,1/11/2017
Al Massira,28.6,2657.0,759.1,1/11/2018
Al Massira,21.3,2657.0,565.7,1/11/2017
Oued El Makhazine,77.5,672.9,521.7,2/11/2018
Oued El Makhazine,46.1,672.9,309.9,2/11/2017
Hassan II,65.9,392.31,258.64,2/11/2018
Hassan II,17.0,392.31,66.7,2/11/2017
Oued ZA,94.1,94.9,89.3,2/11/2018
Oued ZA,17.2,94.9,16.3,2/11/2017
Mohamed V,100.0,239.5,239.5,2/11/2018
Mohamed V,7.0,239.5,16.8,2/11/2017
Idriss 1er,81.3,1129.6,918.2,2/11/2018
Idriss 1er,40.7,1129.6,459.7,2/11/2017
Al Wahda,62.3,3522.3,2195.8,2/11/2018
Al Wahda,43.2,3522.3,1521.1,2/11/2017
El Kensera,76.8,216.4,166.3,2/11/2018
El Kensera,45.3,216.4,97.9,2/11/2017
Bin El Ouidane,64.3,1215.5,782.0,2/11/2018
Bin El Ouidane,18.5,1215.5,224.3,2/11/2017
Al Hanssali,45.5,668.2,303.9,2/11/2018
Al Hanssali,36.1,668.2,241.5,2/11/2017
Al Massira,29.0,2657.0,769.4,2/11/2018
Al Massira,21.2,2657.0,563.6,2/11/2017
Oued El Makhazine,78.0,672.9,525.1,3/11/2018
Oued El Makhazine,46.0,672.9,309.7,3/11/2017
Hassan II,66.4,392.31,260.56,3/11/2018
Hassan II,17.0,392.31,66.7,3/11/2017
Oued ZA,95.5,94.9,90.6,3/11/2018
Oued ZA,17.2,94.9,16.4,3/11/2017
Mohamed V,100.0,239.5,239.5,3/11/2018
Mohamed V,6.7,239.5,16.0,3/11/2017
Idriss 1er,82.3,1129.6,929.9,3/11/2018
Idriss 1er,40.6,1129.6,458.7,3/11/2017
Al Wahda,62.6,3522.3,2203.2,3/11/2018
Al Wahda,43.1,3522.3,1518.9,3/11/2017
El Kensera,79.4,216.4,171.8,3/11/2018
El Kensera,44.9,216.4,97.1,3/11/2017
Bin El Ouidane,64.5,1215.5,783.6,3/11/2018
Bin El Ouidane,18.4,1215.5,223.5,3/11/2017
Al Hanssali,46.1,668.2,308.1,3/11/2018
Al Hanssali,36.0,668.2,240.6,3/11/2017
Al Massira,29.1,2657.0,774.2,3/11/2018
Al Massira,21.1,2657.0,560.1,3/11/2017
Oued El Makhazine,78.2,672.9,526.1,4/11/2018
Oued El Makhazine,46.0,672.9,309.7,4/11/2017
Hassan II,66.8,392.31,262.01,4/11/2018
Hassan II,17.0,392.31,66.7,4/11/2017
Oued ZA,95.7,94.9,90.9,4/11/2018
Oued ZA,17.2,94.9,16.4,4/11/2017
Mohamed V,99.8,239.5,239.0,4/11/2018
Mohamed V,6.7,239.5,16.0,4/11/2017
Idriss 1er,82.7,1129.6,934.5,4/11/2018
Idriss 1er,40.6,1129.6,458.7,4/11/2017
Al Wahda,62.6,3522.3,2205.0,4/11/2018
Al Wahda,43.1,3522.3,1518.9,4/11/2017
El Kensera,79.9,216.4,173.0,4/11/2018
El Kensera,44.9,216.4,97.1,4/11/2017
Bin El Ouidane,65.4,1215.5,795.3,4/11/2018
Bin El Ouidane,18.4,1215.5,223.5,4/11/2017
Al Hanssali,46.5,668.2,310.8,4/11/2018
Al Hanssali,36.0,668.2,240.6,4/11/2017
Al Massira,29.2,2657.0,776.0,4/11/2018
Al Massira,21.1,2657.0,560.1,4/11/2017
Oued El Makhazine,78.2,672.9,526.4,5/11/2018
Oued El Makhazine,46.0,672.9,309.2,5/11/2017
Hassan II,66.9,392.31,262.30,5/11/2018
Hassan II,17.0,392.31,66.7,5/11/2017
Oued ZA,96.0,94.9,91.1,5/11/2018
Oued ZA,17.4,94.9,16.5,5/11/2017
Mohamed V,98.4,239.5,235.7,5/11/2018
Mohamed V,6.6,239.5,15.9,5/11/2017
Idriss 1er,83.0,1129.6,937.6,5/11/2018
Idriss 1er,40.5,1129.6,457.0,5/11/2017
Al Wahda,62.6,3522.3,2205.0,5/11/2018
Al Wahda,43.0,3522.3,1514.4,5/11/2017
El Kensera,80.4,216.4,174.0,5/11/2018
El Kensera,44.4,216.4,96.1,5/11/2017
Bin El Ouidane,66.0,1215.5,802.1,5/11/2018
Bin El Ouidane,18.3,1215.5,222.6,5/11/2017
Al Hanssali,46.9,668.2,313.1,5/11/2018
Al Hanssali,36.2,668.2,241.7,5/11/2017
Al Massira,29.3,2657.0,779.1,5/11/2018
Al Massira,20.8,2657.0,552.6,5/11/2017
Oued El Makhazine,78.5,672.9,528.4,6/11/2018
Oued El Makhazine,45.9,672.9,309.0,6/11/2017
Hassan II,67.0,392.31,262.88,6/11/2018
Hassan II,17.0,392.31,66.7,6/11/2017
Oued ZA,96.2,94.9,91.2,6/11/2018
Oued ZA,17.4,94.9,16.6,6/11/2017
Mohamed V,97.6,239.5,233.7,6/11/2018
Mohamed V,6.6,239.5,15.9,6/11/2017
Idriss 1er,82.8,1129.6,935.6,6/11/2018
Idriss 1er,40.3,1129.6,455.3,6/11/2017
Al Wahda,62.4,3522.3,2198.6,6/11/2018
Al Wahda,42.9,3522.3,1512.2,6/11/2017
El Kensera,80.7,216.4,174.7,6/11/2018
El Kensera,44.1,216.4,95.5,6/11/2017
Bin El Ouidane,66.3,1215.5,805.4,6/11/2018
Bin El Ouidane,18.3,1215.5,222.4,6/11/2017
Al Hanssali,47.2,668.2,315.4,6/11/2018
Al Hanssali,36.3,668.2,242.5,6/11/2017
Al Massira,29.3,2657.0,777.2,6/11/2018
Al Massira,20.7,2657.0,550.5,6/11/2017
Oued El Makhazine,78.7,672.9,529.4,7/11/2018
Oued El Makhazine,45.9,672.9,308.7,7/11/2017
Hassan II,67.2,392.31,263.65,7/11/2018
Hassan II,17.0,392.31,66.6,7/11/2017
Oued ZA,96.0,94.9,91.0,7/11/2018
Oued ZA,17.5,94.9,16.7,7/11/2017
Mohamed V,97.4,239.5,233.3,7/11/2018
Mohamed V,6.6,239.5,15.9,7/11/2017
Idriss 1er,82.6,1129.6,933.0,7/11/2018
Idriss 1er,40.2,1129.6,454.6,7/11/2017
Al Wahda,62.1,3522.3,2187.6,7/11/2018
Al Wahda,42.9,3522.3,1510.0,7/11/2017
El Kensera,81.2,216.4,175.8,7/11/2018
El Kensera,43.9,216.4,95.1,7/11/2017
Bin El Ouidane,66.6,1215.5,809.4,7/11/2018
Bin El Ouidane,18.2,1215.5,220.9,7/11/2017
Al Hanssali,47.5,668.2,317.7,7/11/2018
Al Hanssali,35.9,668.2,240.1,7/11/2017
Al Massira,29.2,2657.0,776.6,7/11/2018
Al Massira,20.6,2657.0,546.6,7/11/2017
Oued El Makhazine,78.8,672.9,530.4,8/11/2018
Oued El Makhazine,45.8,672.9,308.2,8/11/2017
Hassan II,67.3,392.31,263.85,8/11/2018
Hassan II,17.0,392.31,66.6,8/11/2017
Oued ZA,95.9,94.9,91.0,8/11/2018
Oued ZA,17.6,94.9,16.7,8/11/2017
Mohamed V,97.6,239.5,233.7,8/11/2018
Mohamed V,6.6,239.5,15.8,8/11/2017
Idriss 1er,82.5,1129.6,931.5,8/11/2018
Idriss 1er,40.2,1129.6,453.9,8/11/2017
Al Wahda,61.7,3522.3,2174.8,8/11/2018
Al Wahda,42.8,3522.3,1507.8,8/11/2017
El Kensera,81.8,216.4,177.0,8/11/2018
El Kensera,43.7,216.4,94.6,8/11/2017
Bin El Ouidane,66.9,1215.5,812.8,8/11/2018
Bin El Ouidane,18.0,1215.5,219.3,8/11/2017
Al Hanssali,47.8,668.2,319.7,8/11/2018
Al Hanssali,35.8,668.2,238.9,8/11/2017
Al Massira,29.3,2657.0,777.2,8/11/2018
Al Massira,20.4,2657.0,542.1,8/11/2017
Oued El Makhazine,78.9,672.9,531.1,9/11/2018
Oued El Makhazine,45.7,672.9,307.7,9/11/2017
Hassan II,67.3,392.31,263.94,9/11/2018
Hassan II,17.0,392.31,66.6,9/11/2017
Oued ZA,95.7,94.9,90.9,9/11/2018
Oued ZA,17.7,94.9,16.8,9/11/2017
Mohamed V,97.4,239.5,233.3,9/11/2018
Mohamed V,6.6,239.5,15.8,9/11/2017
Idriss 1er,82.4,1129.6,930.5,9/11/2018
Idriss 1er,40.1,1129.6,452.5,9/11/2017
Al Wahda,61.5,3522.3,2164.7,9/11/2018
Al Wahda,42.7,3522.3,1505.6,9/11/2017
El Kensera,82.2,216.4,177.9,9/11/2018
El Kensera,43.4,216.4,93.9,9/11/2017
Bin El Ouidane,67.1,1215.5,816.2,9/11/2018
Bin El Ouidane,17.9,1215.5,217.9,9/11/2017
Al Hanssali,47.8,668.2,319.5,9/11/2018
Al Hanssali,35.6,668.2,237.8,9/11/2017
Al Massira,29.1,2657.0,774.2,9/11/2018
Al Massira,20.2,2657.0,537.6,9/11/2017
Oued El Makhazine,79.0,672.9,531.8,10/11/2018
Oued El Makhazine,45.7,672.9,307.5,10/11/2017
Hassan II,67.3,392.31,264.04,10/11/2018
Hassan II,17.0,392.31,66.5,10/11/2017
Oued ZA,95.7,94.9,90.8,10/11/2018
Oued ZA,17.7,94.9,16.8,10/11/2017
Mohamed V,97.8,239.5,234.2,10/11/2018
Mohamed V,6.6,239.5,15.7,10/11/2017
Idriss 1er,82.1,1129.6,927.4,10/11/2018
Idriss 1er,40.0,1129.6,451.5,10/11/2017
Al Wahda,61.1,3522.3,2151.0,10/11/2018
Al Wahda,42.7,3522.3,1503.4,10/11/2017
El Kensera,82.4,216.4,178.4,10/11/2018
El Kensera,43.1,216.4,93.3,10/11/2017
Bin El Ouidane,67.4,1215.5,819.3,10/11/2018
Bin El Ouidane,17.9,1215.5,217.9,10/11/2017
Al Hanssali,48.1,668.2,321.4,10/11/2018
Al Hanssali,35.4,668.2,236.8,10/11/2017
Al Massira,29.3,2657.0,777.2,10/11/2018
Al Massira,20.1,2657.0,534.2,10/11/2017
Oued El Makhazine,79.1,672.9,532.4,11/11/2018
Oued El Makhazine,45.6,672.9,307.0,11/11/2017
Hassan II,67.3,392.31,264.14,11/11/2018
Hassan II,16.9,392.31,66.5,11/11/2017
Oued ZA,95.6,94.9,90.7,11/11/2018
Oued ZA,17.8,94.9,16.9,11/11/2017
Mohamed V,97.4,239.5,233.3,11/11/2018
Mohamed V,6.6,239.5,15.7,11/11/2017
Idriss 1er,81.5,1129.6,920.8,11/11/2018
Idriss 1er,39.9,1129.6,450.1,11/11/2017
Al Wahda,60.8,3522.3,2142.7,11/11/2018
Al Wahda,42.6,3522.3,1501.1,11/11/2017
El Kensera,82.7,216.4,179.0,11/11/2018
El Kensera,42.8,216.4,92.6,11/11/2017
Bin El Ouidane,67.6,1215.5,822.2,11/11/2018
Bin El Ouidane,17.8,1215.5,215.9,11/11/2017
Al Hanssali,48.4,668.2,323.1,11/11/2018
Al Hanssali,35.3,668.2,235.8,11/11/2017
Al Massira,29.3,2657.0,777.2,11/11/2018
Al Massira,20.0,2657.0,530.7,11/11/2017
Oued El Makhazine,79.1,672.9,532.4,12/11/2018
Oued El Makhazine,45.6,672.9,306.8,12/11/2017
Hassan II,67.4,392.31,264.33,12/11/2018
Hassan II,16.9,392.31,66.4,12/11/2017
Oued ZA,95.5,94.9,90.7,12/11/2018
Oued ZA,17.8,94.9,16.9,12/11/2017
Mohamed V,97.2,239.5,232.8,12/11/2018
Mohamed V,6.6,239.5,15.7,12/11/2017
Idriss 1er,81.3,1129.6,918.2,12/11/2018
Idriss 1er,39.8,1129.6,449.5,12/11/2017
Al Wahda,60.4,3522.3,2129.0,12/11/2018
Al Wahda,42.6,3522.3,1498.9,12/11/2017
El Kensera,82.9,216.4,179.5,12/11/2018
El Kensera,42.5,216.4,92.0,12/11/2017
Bin El Ouidane,67.8,1215.5,824.5,12/11/2018
Bin El Ouidane,17.6,1215.5,214.0,12/11/2017
Al Hanssali,48.6,668.2,324.5,12/11/2018
Al Hanssali,35.4,668.2,236.2,12/11/2017
Al Massira,29.3,2657.0,777.2,12/11/2018
Al Massira,19.9,2657.0,529.7,12/11/2017
Oued El Makhazine,79.2,672.9,533.1,13/11/2018
Oued El Makhazine,45.5,672.9,306.3,13/11/2017
Hassan II,67.5,392.31,264.62,13/11/2018
Hassan II,16.9,392.31,66.4,13/11/2017
Oued ZA,95.5,94.9,90.7,13/11/2018
Oued ZA,17.9,94.9,16.9,13/11/2017
Mohamed V,97.2,239.5,232.8,13/11/2018
Mohamed V,6.5,239.5,15.6,13/11/2017
Idriss 1er,80.8,1129.6,913.2,13/11/2018
Idriss 1er,39.7,1129.6,448.8,13/11/2017
Al Wahda,59.9,3522.3,2109.9,13/11/2018
Al Wahda,42.5,3522.3,1496.7,13/11/2017
El Kensera,83.2,216.4,180.0,13/11/2018
El Kensera,42.2,216.4,91.4,13/11/2017
Bin El Ouidane,68.1,1215.5,827.9,13/11/2018
Bin El Ouidane,17.5,1215.5,212.3,13/11/2017
Al Hanssali,48.4,668.2,323.2,13/11/2018
Al Hanssali,35.2,668.2,235.4,13/11/2017
Al Massira,29.2,2657.0,775.4,13/11/2018
Al Massira,19.9,2657.0,527.8,13/11/2017
Oued El Makhazine,79.2,672.9,533.1,14/11/2018
Oued El Makhazine,45.5,672.9,306.0,14/11/2017
Hassan II,67.5,392.31,264.82,14/11/2018
Hassan II,16.9,392.31,66.4,14/11/2017
Oued ZA,95.6,94.9,90.7,14/11/2018
Oued ZA,18.0,94.9,17.0,14/11/2017
Mohamed V,97.2,239.5,232.8,14/11/2018
Mohamed V,6.5,239.5,15.6,14/11/2017
Idriss 1er,80.5,1129.6,909.6,14/11/2018
Idriss 1er,39.6,1129.6,447.1,14/11/2017
Al Wahda,59.5,3522.3,2097.2,14/11/2018
Al Wahda,42.4,3522.3,1493.8,14/11/2017
El Kensera,83.4,216.4,180.5,14/11/2018
El Kensera,42.0,216.4,90.8,14/11/2017
Bin El Ouidane,68.4,1215.5,831.3,14/11/2018
Bin El Ouidane,17.4,1215.5,211.2,14/11/2017
Al Hanssali,48.6,668.2,324.6,14/11/2018
Al Hanssali,35.1,668.2,234.4,14/11/2017
Al Massira,29.2,2657.0,776.0,14/11/2018
Al Massira,19.7,2657.0,523.9,14/11/2017
Oued El Makhazine,79.3,672.9,533.5,15/11/2018
Oued El Makhazine,45.4,672.9,305.8,15/11/2017
Hassan II,67.5,392.31,264.82,15/11/2018
Hassan II,16.9,392.31,66.4,15/11/2017
Oued ZA,95.6,94.9,90.7,15/11/2018
Oued ZA,18.0,94.9,17.1,15/11/2017
Mohamed V,98.2,239.5,235.2,15/11/2018
Mohamed V,5.8,239.5,13.9,15/11/2017
Idriss 1er,80.0,1129.6,903.6,15/11/2018
Idriss 1er,39.4,1129.6,445.4,15/11/2017
Al Wahda,59.1,3522.3,2082.7,15/11/2018
Al Wahda,42.3,3522.3,1491.6,15/11/2017
El Kensera,83.6,216.4,181.0,15/11/2018
El Kensera,41.7,216.4,90.3,15/11/2017
Bin El Ouidane,68.6,1215.5,833.6,15/11/2018
Bin El Ouidane,17.3,1215.5,209.7,15/11/2017
Al Hanssali,48.7,668.2,325.6,15/11/2018
Al Hanssali,35.0,668.2,233.8,15/11/2017
Al Massira,29.2,2657.0,776.0,15/11/2018
Al Massira,19.6,2657.0,521.0,15/11/2017
Oued El Makhazine,79.3,672.9,533.5,16/11/2018
Oued El Makhazine,45.4,672.9,305.3,16/11/2017
Hassan II,67.6,392.31,265.01,16/11/2018
Hassan II,16.9,392.31,66.3,16/11/2017
Oued ZA,95.7,94.9,90.8,16/11/2018
Oued ZA,18.1,94.9,17.2,16/11/2017
Mohamed V,99.0,239.5,237.1,16/11/2018
Mohamed V,5.8,239.5,13.9,16/11/2017
Idriss 1er,79.6,1129.6,899.1,16/11/2018
Idriss 1er,39.3,1129.6,444.0,16/11/2017
Al Wahda,58.5,3522.3,2062.1,16/11/2018
Al Wahda,42.3,3522.3,1489.4,16/11/2017
El Kensera,83.8,216.4,181.3,16/11/2018
El Kensera,41.4,216.4,89.6,16/11/2017
Bin El Ouidane,68.7,1215.5,835.1,16/11/2018
Bin El Ouidane,17.1,1215.5,207.6,16/11/2017
Al Hanssali,48.9,668.2,326.8,16/11/2018
Al Hanssali,34.9,668.2,233.3,16/11/2017
Al Massira,29.2,2657.0,774.8,16/11/2018
Al Massira,19.5,2657.0,517.6,16/11/2017
Oued El Makhazine,79.3,672.9,533.8,17/11/2018
Oued El Makhazine,45.3,672.9,305.1,17/11/2017
Hassan II,67.7,392.31,265.40,17/11/2018
Hassan II,16.9,392.31,66.3,17/11/2017
Oued ZA,95.7,94.9,90.8,17/11/2018
Oued ZA,18.1,94.9,17.2,17/11/2017
Mohamed V,98.8,239.5,236.6,17/11/2018
Mohamed V,5.8,239.5,13.9,17/11/2017
Idriss 1er,79.4,1129.6,896.5,17/11/2018
Idriss 1er,39.2,1129.6,443.0,17/11/2017
Al Wahda,58.0,3522.3,2044.2,17/11/2018
Al Wahda,42.2,3522.3,1487.2,17/11/2017
El Kensera,83.9,216.4,181.6,17/11/2018
El Kensera,41.1,216.4,88.9,17/11/2017
Bin El Ouidane,68.8,1215.5,836.5,17/11/2018
Bin El Ouidane,17.1,1215.5,207.7,17/11/2017
Al Hanssali,49.0,668.2,327.6,17/11/2018
Al Hanssali,34.7,668.2,231.7,17/11/2017
Al Massira,29.1,2657.0,774.2,17/11/2018
Al Massira,19.3,2657.0,511.8,17/11/2017
Oued El Makhazine,79.3,672.9,533.8,18/11/2018
Oued El Makhazine,45.3,672.9,304.6,18/11/2017
Hassan II,67.7,392.31,265.70,18/11/2018
Hassan II,16.9,392.31,66.3,18/11/2017
Oued ZA,95.7,94.9,90.9,18/11/2018
Oued ZA,18.2,94.9,17.3,18/11/2017
Mohamed V,96.8,239.5,231.8,18/11/2018
Mohamed V,5.0,239.5,11.9,18/11/2017
Idriss 1er,79.0,1129.6,892.5,18/11/2018
Idriss 1er,39.1,1129.6,441.6,18/11/2017
Al Wahda,57.9,3522.3,2038.9,18/11/2018
Al Wahda,42.2,3522.3,1485.0,18/11/2017
El Kensera,84.1,216.4,181.9,18/11/2018
El Kensera,40.7,216.4,88.1,18/11/2017
Bin El Ouidane,69.0,1215.5,838.2,18/11/2018
Bin El Ouidane,17.1,1215.5,207.6,18/11/2017
Al Hanssali,49.1,668.2,327.8,18/11/2018
Al Hanssali,34.7,668.2,231.8,18/11/2017
Al Massira,29.1,2657.0,774.2,18/11/2018
Al Massira,19.2,2657.0,509.9,18/11/2017
Oued El Makhazine,79.5,672.9,534.8,19/11/2018
Oued El Makhazine,45.2,672.9,304.4,19/11/2017
Hassan II,67.7,392.31,265.70,19/11/2018
Hassan II,16.9,392.31,66.3,19/11/2017
Oued ZA,95.8,94.9,90.9,19/11/2018
Oued ZA,18.2,94.9,17.3,19/11/2017
Mohamed V,96.0,239.5,229.9,19/11/2018
Mohamed V,5.0,239.5,11.9,19/11/2017
Idriss 1er,78.5,1129.6,887.0,19/11/2018
Idriss 1er,39.0,1129.6,440.3,19/11/2017
Al Wahda,57.8,3522.3,2037.1,19/11/2018
Al Wahda,42.1,3522.3,1482.1,19/11/2017
El Kensera,84.4,216.4,182.6,19/11/2018
El Kensera,40.4,216.4,87.4,19/11/2017
Bin El Ouidane,69.4,1215.5,843.2,19/11/2018
Bin El Ouidane,17.1,1215.5,207.5,19/11/2017
Al Hanssali,49.6,668.2,331.4,19/11/2018
Al Hanssali,34.8,668.2,232.7,19/11/2017
Al Massira,29.3,2657.0,777.2,19/11/2018
Al Massira,19.1,2657.0,508.4,19/11/2017
Oued El Makhazine,81.9,672.9,551.1,20/11/2018
Oued El Makhazine,45.2,672.9,303.9,20/11/2017
Hassan II,67.8,392.31,265.89,20/11/2018
Hassan II,16.9,392.31,66.3,20/11/2017
Oued ZA,96.5,94.9,91.6,20/11/2018
Oued ZA,18.3,94.9,17.4,20/11/2017
Mohamed V,96.2,239.5,230.4,20/11/2018
Mohamed V,5.0,239.5,11.9,20/11/2017
Idriss 1er,78.2,1129.6,883.0,20/11/2018
Idriss 1er,38.9,1129.6,438.9,20/11/2017
Al Wahda,58.1,3522.3,2047.8,20/11/2018
Al Wahda,42.0,3522.3,1479.9,20/11/2017
El Kensera,84.6,216.4,183.1,20/11/2018
El Kensera,40.1,216.4,86.8,20/11/2017
Bin El Ouidane,69.7,1215.5,847.2,20/11/2018
Bin El Ouidane,17.1,1215.5,207.5,20/11/2017
